Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Std
443,634227.0374298096,3,0,2213,0,2105,54,737.6666666666666,0
55788,413986.9213104248,3,0,673,0,517,54,224.33333333333334,0
443,25472570.89614868,15,0,8071,0,1292,73,538.0666666666667,0
58463,25405312.061309814,15,0,6872,0,1292,64,458.1333333333333,0
443,14495875.835418701,2,0,138,0,83,55,69.0,0
54992,14387593.984603882,3,0,199,0,79,54,66.33333333333333,0
60298,40491968.870162964,10,0,782,0,133,54,78.2,0
443,40251837.01515198,8,0,724,0,144,54,90.5,0
443,30189558.029174805,4,0,284,0,71,71,71.0,0
57601,30149697.065353394,4,0,302,0,76,75,75.5,0
27019,27107758.045196533,3,0,280,0,113,54,93.33333333333333,0
59260,27130450.963974,3,0,262,0,154,54,87.33333333333333,0
5353,766692.1615600586,6,0,1207,0,355,85,201.16666666666666,0
55801,5004130.840301514,3,0,225,0,93,54,75.0,0
443,5004194.974899292,2,0,108,0,54,54,54.0,0
8883,238539.9341583252,2,0,139,0,85,54,69.5,0
64857,0.0,1,0,85,0,85,85,85.0,0
57621,30105208.158493042,2,0,172,0,86,86,86.0,0
443,0.0,1,0,55,0,55,55,55.0,0
59499,0.0,1,0,66,0,66,66,66.0,0
5353,1025606.8706512451,2,0,254,0,127,127,127.0,0
443,0.0,1,0,55,0,55,55,55.0,0
64975,0.0,1,0,66,0,66,66,66.0,0
53,145472.04971313477,7,0,429,0,91,54,61.285714285714285,0
53,145113.94500732422,7,0,429,0,91,54,61.285714285714285,0
62783,143451.92909240723,6,0,449,0,166,54,74.83333333333333,0
54584,143367.05207824707,6,0,415,0,132,54,69.16666666666667,0
443,341553.9264678955,13,0,9178,0,1292,73,706.0,0
56577,335619.9264526367,14,0,6640,0,1292,66,474.2857142857143,0
443,0.0,1,0,55,0,55,55,55.0,0
61394,0.0,1,0,66,0,66,66,66.0,0
443,0.0,1,0,55,0,55,55,55.0,0
58845,0.0,1,0,66,0,66,66,66.0,0
1900,611769.1993713379,18,0,9033,0,540,460,501.8333333333333,0
5228,0.0,1,0,55,0,55,55,55.0,0
443,0.0,1,0,55,0,55,55,55.0,0
55785,0.0,1,0,66,0,66,66,66.0,0
1900,3070732.831954956,4,0,848,0,212,212,212.0,0
