Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Std,Label
443.0,311670.06492614746,2.0,0.0,164.0,0.0,82.0,82.0,82.0,0.0,0
50090.0,1494045.9728240967,12.0,0.0,6047.0,0.0,1474.0,54.0,503.9166666666667,0.0,0
443.0,658175.9452819824,2.0,0.0,178.0,0.0,89.0,89.0,89.0,0.0,0
63236.0,1479003.90625,11.0,0.0,5751.0,0.0,1474.0,54.0,522.8181818181819,0.0,1
443.0,1339005.2318572998,9.0,0.0,7683.0,0.0,2894.0,54.0,853.6666666666666,0.0,0
27019.0,0.0,1.0,0.0,113.0,0.0,113.0,113.0,113.0,0.0,1
59260.0,0.0,1.0,0.0,54.0,0.0,54.0,54.0,54.0,0.0,0
443.0,0.0,1.0,0.0,71.0,0.0,71.0,71.0,71.0,0.0,0
57669.0,0.0,1.0,0.0,71.0,0.0,71.0,71.0,71.0,0.0,0
57621.0,0.0,1.0,0.0,86.0,0.0,86.0,86.0,86.0,0.0,0
5353.0,795696.9738006592,6.0,0.0,1273.0,0.0,377.0,85.0,212.16666666666666,0.0,0
60122.0,14702.796936035156,2.0,0.0,132.0,0.0,78.0,54.0,66.0,0.0,0
443.0,0.0,1.0,0.0,82.0,0.0,82.0,82.0,82.0,0.0,0
5353.0,0.0,1.0,0.0,87.0,0.0,87.0,87.0,87.0,0.0,0
443.0,0.0,1.0,0.0,55.0,0.0,55.0,55.0,55.0,0.0,0
63227.0,0.0,1.0,0.0,66.0,0.0,66.0,66.0,66.0,0.0,0
1900.0,0.0,1.0,0.0,167.0,0.0,167.0,167.0,167.0,0.0,0
443.0,0.0,1.0,0.0,55.0,0.0,55.0,55.0,55.0,0.0,0
62853.0,0.0,1.0,0.0,66.0,0.0,66.0,66.0,66.0,0.0,0
443.0,0.0,1.0,0.0,55.0,0.0,55.0,55.0,55.0,0.0,0
53.0,0.0,1.0,0.0,80.0,0.0,80.0,80.0,80.0,0.0,0
52546.0,0.0,1.0,0.0,176.0,0.0,176.0,176.0,176.0,0.0,0
443.0,6230941.0572052,13.0,0.0,16867.0,0.0,4314.0,54.0,1297.4615384615386,0.0,0
58939.0,5908530.950546265,7.0,0.0,563.0,0.0,153.0,54.0,80.42857142857143,0.0,0
443.0,302593.9464569092,10.0,0.0,2297.0,0.0,820.0,54.0,229.7,0.0,0
63241.0,284687.99591064453,11.0,0.0,17157.0,0.0,4314.0,54.0,1559.7272727272727,0.0,0
57231.0,0.0,1.0,0.0,54.0,0.0,54.0,54.0,54.0,0.0,0
63234.0,329303.9798736572,7.0,0.0,1685.0,0.0,590.0,54.0,240.71428571428572,0.0,0
8883.0,241253.13758850098,2.0,0.0,139.0,0.0,85.0,54.0,69.5,0.0,0
63661.0,0.0,1.0,0.0,85.0,0.0,85.0,85.0,85.0,0.0,0
5228.0,0.0,1.0,0.0,55.0,0.0,55.0,55.0,55.0,0.0,0
64833.0,0.0,1.0,0.0,66.0,0.0,66.0,66.0,66.0,0.0,0
443.0,5159209.0129852295,10.0,0.0,5902.0,0.0,5272.0,54.0,590.2,0.0,0
27019.0,0.0,1.0,0.0,113.0,0.0,113.0,113.0,113.0,0.0,1
59260.0,0.0,1.0,0.0,54.0,0.0,54.0,54.0,54.0,0.0,0
443.0,0.0,1.0,0.0,71.0,0.0,71.0,71.0,71.0,0.0,0
57669.0,0.0,1.0,0.0,71.0,0.0,71.0,71.0,71.0,0.0,0
443.0,1463591.0987854004,12.0,0.0,5149.0,0.0,2738.0,54.0,429.0833333333333,0.0,0
63244.0,1474790.096282959,10.0,0.0,6999.0,0.0,2894.0,54.0,699.9,0.0,0
443.0,0.0,1.0,0.0,55.0,0.0,55.0,55.0,55.0,0.0,0
63549.0,25784.969329833984,2.0,0.0,147.0,0.0,93.0,54.0,73.5,0.0,0
443.0,0.0,1.0,0.0,83.0,0.0,83.0,83.0,83.0,0.0,0
49413.0,0.0,1.0,0.0,66.0,0.0,66.0,66.0,66.0,0.0,0
443.0,0.0,1.0,0.0,55.0,0.0,55.0,55.0,55.0,0.0,0
52156.0,0.0,1.0,0.0,66.0,0.0,66.0,66.0,66.0,0.0,0
57621.0,0.0,1.0,0.0,86.0,0.0,86.0,86.0,86.0,0.0,0
443.0,0.0,1.0,0.0,78.0,0.0,78.0,78.0,78.0,0.0,0
